Month,Time_Index,Year,Month_Number,Quarter,Fiscal_Year_End,COVID_Shock_Flag,Inflation_YoY_pct,Industrial_Manufacturing_Growth_YoY_pct,Exchange_Rate_BDT_per_USD,Reserves_YoY_pct,Export_Growth_YoY_pct,Import_Growth_YoY_pct,Trade_Balance_USD_bn,Broad_Money_Growth_pct,Broad_Money_to_Reserves_pct,ADB_Policy_Rate_pct,Stock_Price_Index,Workers_Remittance_USD_mn,GDP_Growth_Annual_pct,GDP_Current_USD_bn,GDP_Per_Capita_Current_USD,GDP_Per_Capita_Real_2015_USD,Gross_Capital_Formation_pct_GDP,FDI_Net_Inflows_pct_GDP,Domestic_Credit_Private_Sector_pct_GDP,Unemployment_ILO_pct,Youth_Unemployment_pct,Labor_Force_Participation_pct,Employment_Rate_pct,Labor_Force_Total_mn,FX_Depreciation_YoY_pct,Remittance_YoY_pct,Stock_Return_MoM_pct,Export_Import_Growth_Spread_pp,Real_Policy_Rate_Proxy_pp,Money_Inflation_Gap_pp,Trade_Balance_MoM_Change_USD_bn,Industrial_3m_Mean,Inflation_3m_Mean,Export_Growth_3m_Mean
2006-01,1,2006,1,1,2006,0,6.586,8.527,66.442,-7.701,17.306,6.32,-0.383,16.726,9.024,4.5,4284.230792,411.16,6.67,71.795736,490.4,779.4,26.1,0.6,31.17,3.6,7.3,58.1,56.0,54.908227,4.829776,24.48925,2.756746,10.986,-2.086,10.14,-0.082,8.527,6.586,17.306
2006-02,2,2006,2,1,2006,0,5.715,12.065,67.146,-5.219,14.347,4.465,-0.465,18.112,8.366,4.5,4402.336156,374.02,6.67,71.795736,490.4,779.4,26.1,0.6,31.17,3.6,7.3,58.1,56.0,54.908227,4.829776,24.48925,2.756746,9.882,-1.215,12.397,-0.082,10.296,6.1505,15.8265
2006-03,3,2006,3,1,2006,0,6.173,15.646,69.484,-4.686,1.6,-0.877,-0.551,19.158,8.412,4.5,4319.939032,405.13,6.67,71.795736,490.4,779.4,26.1,0.6,31.17,3.6,7.3,58.1,56.0,54.908227,4.829776,24.48925,-1.871668,2.477,-1.673,12.985,-0.086,12.079333,6.158,11.084333
2006-04,4,2006,4,2,2006,0,7.455,6.754,69.831,-0.376,11.645,15.579,-0.641,19.928,7.902,4.5,4210.505535,386.4,6.67,71.795736,490.4,779.4,26.1,0.6,31.17,3.6,7.3,58.1,56.0,54.908227,4.829776,24.48925,-2.533219,-3.934,-2.955,12.473,-0.09,11.488333,6.447667,9.197333
2006-05,5,2006,5,2,2006,0,7.614,12.133,69.506,1.864,40.224,28.412,-0.521,20.478,8.299,4.5,4207.684141,443.37,6.67,71.795736,490.4,779.4,26.1,0.6,31.17,3.6,7.3,58.1,56.0,54.908227,4.829776,24.48925,-0.067008,11.812,-3.114,12.864,0.12,11.511,7.080667,17.823
2006-06,6,2006,6,2,2006,0,7.539,11.064,69.59,14.817,-11.522,18.251,-0.413,19.299,7.589,4.5,4345.347562,445.64,6.67,71.795736,490.4,779.4,26.1,0.6,31.17,3.6,7.3,58.1,56.0,54.908227,4.829776,24.48925,3.271715,-29.773,-3.039,11.76,0.108,9.983667,7.536,13.449
2006-07,7,2006,7,3,2007,0,6.77,12.367,69.732,13.702,25.699,20.4,-0.37,20.441,8.246,4.5,4347.159082,480.31,6.67,71.795736,490.4,779.4,26.1,0.6,31.17,3.6,7.3,58.1,56.0,54.908227,4.829776,24.48925,0.041689,5.299,-2.27,13.671,0.043,11.854667,7.307667,18.133667
2006-08,8,2006,8,3,2007,0,6.671,17.32,69.698,25.345,30.286,11.516,-0.267,20.113,7.493,4.5,4182.075624,507.48,6.67,71.795736,490.4,779.4,26.1,0.6,31.17,3.6,7.3,58.1,56.0,54.908227,4.829776,24.48925,-3.797502,18.77,-2.171,13.442,0.103,13.583667,6.993333,14.821
2006-09,9,2006,9,3,2007,0,6.886,12.401,67.92,24.815,36.291,20.866,-0.283,19.889,8.147,4.5,4065.818151,468.03,6.67,71.795736,490.4,779.4,26.1,0.6,31.17,3.6,7.3,58.1,56.0,54.908227,4.829776,24.48925,-2.779899,15.425,-2.386,13.003,-0.016,14.029333,6.775667,30.758667
2006-10,10,2006,10,4,2007,0,7.311,1.599,66.96,26.693,17.449,15.765,-0.491,20.215,8.229,4.5,3991.3559,465.11,6.67,71.795736,490.4,779.4,26.1,0.6,31.17,3.6,7.3,58.1,56.0,54.908227,4.829776,24.48925,-1.831421,1.684,-2.811,12.904,-0.208,10.44,6.956,28.008667
2006-11,11,2006,11,4,2007,0,6.37,16.795,69.393,46.636,46.321,32.942,-0.603,20.379,7.934,4.5,4013.436414,514.46,6.67,71.795736,490.4,779.4,26.1,0.6,31.17,3.6,7.3,58.1,56.0,54.908227,4.829776,24.48925,0.553208,13.379,-1.87,14.009,-0.112,10.265,6.855667,33.353667
2006-12,12,2006,12,4,2007,0,6.135,12.31,69.548,37.523,20.654,22.211,-0.612,22.331,7.621,4.5,4109.959259,473.54,6.67,71.795736,490.4,779.4,26.1,0.6,31.17,3.6,7.3,58.1,56.0,54.908227,4.829776,24.48925,2.404993,-1.557,-1.635,16.196,-0.009,10.234667,6.605333,28.141333
2007-01,13,2007,1,1,2007,0,5.94,18.61,69.651,32.831,21.644,30.279,-0.565,20.606,7.803,4.5,4284.230817,511.85,7.06,79.611645,538.0,825.5,26.2,0.8,32.04,4.0,8.0,58.2,55.9,55.892527,4.829776,24.48925,4.240226,-8.635,-1.44,14.666,0.047,15.905,6.148333,29.539667
2007-02,14,2007,2,1,2007,0,7.282,12.56,69.022,37.491,17.659,6.063,-0.407,19.996,7.102,4.5,4402.336187,465.61,7.06,79.611645,538.0,825.5,26.2,0.8,32.04,4.0,8.0,58.2,55.9,55.892527,2.793912,24.487995,2.756746,11.596,-2.782,12.714,0.158,14.493333,6.452333,19.985667
2007-03,15,2007,3,1,2007,0,7.428,10.116,68.943,44.937,27.551,11.448,-0.493,19.817,7.088,4.5,4319.93907,504.34,7.06,79.611645,538.0,825.5,26.2,0.8,32.04,4.0,8.0,58.2,55.9,55.892527,-0.778597,24.488436,-1.871668,16.103,-2.928,12.389,-0.086,13.762,6.883333,22.284667
2007-04,16,2007,4,2,2007,0,8.28,8.773,68.957,45.495,23.167,14.602,-0.668,19.208,6.593,4.5,4210.505583,481.02,7.06,79.611645,538.0,825.5,26.2,0.8,32.04,4.0,8.0,58.2,55.9,55.892527,-1.251593,24.487578,-2.533218,8.565,-3.78,10.928,-0.175,10.483,7.663333,22.792333
2007-05,17,2007,5,2,2007,0,8.05,2.61,69.075,44.808,16.138,7.771,-0.489,18.332,6.819,4.5,4207.684201,551.95,7.06,79.611645,538.0,825.5,26.2,0.8,32.04,4.0,8.0,58.2,55.9,55.892527,-0.62009,24.489704,-0.067008,8.367,-3.55,10.282,0.179,7.166333,7.919333,22.285333
